Unnamed: 0,Tittel,Toneart,Unnamed: 3,Unnamed: 4,Antall sider,Unnamed: 6,Komponist,Unnamed: 8,Unnamed: 9,Tekstforfatter,Unnamed: 11
A,April love,G,,1.0,1.0,,,,,,
,Around the World,C,,2.0,1.0,,,,,,
,"Arrivederci, Roma",D,,3.0,1.0,,Renato Rascel,(1912 - 1991),,,
,As time goes by,"Eb (og ""C"")",,4.0,1.0,,,,,,
B,Blåklokkevikua,C,,5.0,1.0,,,,,,
,Bare  Sol,F,,6.0,2.0,,Alf Peaters,1901 - 1951,,,
,Blåklokker,G,,8.0,1.0,,Kristian Hauger,(1905 - 1977),,Herbert Herding-Herberth,(1904 - 1958)
,Blåveispiken,G,,9.0,1.0,,,,,,
C,Cheek to Cheek,Bb,,10.0,1.0,,Irving Berlin,(1888 - 1889),,,
,Come back to Sorrento,Am,,11.0,1.0,,Ernesto De Curtis,(1875 - 1937),,,
D,Da ska' bli andre boller,D,,12.0,1.0,,,,,,
,"Daisy, Daisy",G,,13.0,1.0,,,,,,
,Dar kjem Dampen,Dm,,14.0,1.0,,,,,,
,De nære ting,F,,15.0,1.0,,,,,,
,Det var på Capri,C,,16.0,1.0,,,,,,
,Du ska få en dag i mårå,D/Em,,17.0,2.0,,,,,,
E,Early one morning,D,,19.0,1.0,,,,,,
,Eg veit ei lita jente,C,,21.0,1.0,,,,,,
,En liten blåveis,C,,20.0,1.0,,Hermann Hermani,1898 - 1960,,,
,En sjöman älskar havets våg,D,,22.0,1.0,,,,,,
,Eventyrvisa,D,,23.0,1.0,,,,,,
F,Fanaraaken,C,,24.0,1.0,,Bjørn Helge Pedersen,,,,
,Festen er over,C/Cm,,25.0,1.0,,,,,,
,Fjellsangen,F,,26.0,1.0,,,,,,
,Fritiof i Arkadien,F,,27.0,1.0,,,,,,
G,Gangdøra,F,,28.0,1.0,,,,,,
,"Gje meg handa di, ven",C,,29.0,1.0,,,,,,
H,Hele uken alene,G,,30.0,1.0,,,,,,
,Hildringstimen,C,,31.0,1.0,,,,,,
,Hva var vel livet uten deg,Bb,,32.0,1.0,,,,,,
,Håvard Hedde,Cm,,33.0,1.0,,,,,,
I,It's almost tomorrow,G,,34.0,1.0,,,,,,
,"It's been a long, long time",D,,35.0,1.0,Slow,Jule Styne,(1905 - 1994),,,
J,Jamaica Farewell,C,,36.0,1.0,,,,,,
,Jeg blir så glad,Bb,,37.0,1.0,,,,,,
,Jeg plukker fløjlsgræs,Cm,,38.0,1.0,,,,,,
K,Krøllane,G,,39.0,1.0,,,,,,
L,Lili Marlene,C,,40.0,1.0,,,,,,
M,Marina,G,,41.0,1.0,,,,,,
,Menuett i mai,A,,42.0,1.0,,,,,,
,Min älskling du er som en ros,G,,43.0,1.0,,,,,,
,Minnenes melodi,Dm/D,,44.0,1.0,,,,,,
,Molly Malone,C,,45.0,1.0,,,,,,
,Morgensang,G,,46.0,2.0,,,,,,
,Moulin Rouge,Eb,,48.0,1.0,,,,,,
N,No kjem ein vals,D/A,,49.0,1.0,,,,,,
,Nordaførr,A,,50.0,1.0,,,,,,
,Ny vise om gamle gleder,D,,51.0,1.0,,,,,,
,Nystemten,G,,52.0,1.0,,,,,,
O,Oldefar,D,,53.0,1.0,,,,,,
,Oxdragarsong,D,,54.0,1.0,,,,,,
P,Patriot-Paula,D,,55.0,1.0,,,,,,
,Pierina,D,,56.0,1.0,,,,,,
,På folkemunne,A,,57.0,1.0,,,,,,
R,Roser fra Athen,F,,58.0,1.0,,,,,,
S,Sangen til bygda,C,,,,,Anne Marie Kvien,1947 -,,,
,Smile,F,,59.0,1.0,,Charlie Chaplin,(1889 - 1977),,,
,Solskinn og sang,G,,60.0,1.0,,,,,,
,Sommerfuggel i vinterland,D,,61.0,1.0,,,,,,
,Sommernatt i Froland,G,,62.0,1.0,,,,,,
,Skomvær-valsen,F,,63.0,2.0,,,,,,
,Songen fra vest,G,,65.0,1.0,,,,,,
,Striladans,F,,66.0,1.0,,,,,,
,Strilevise,Am,,67.0,1.0,,,,,,
,Sønnavindsvalsen,F,,68.0,1.0,,,,,,
T,The last rose of summer,,,69.0,1.0,,,,,,
U,Ungkarsvalsen,Bb,,70.0,1.0,,,,,,
V,Vandringsmenn,G,,71.0,1.0,,,,,,
,Vandringsvise,D,,72.0,1.0,,,,,,
,"Vestland, Vestland",F,,73.0,1.0,,,,,,
,Vi vandrer med freidig mot,Bb,,74.0,1.0,,,,,,
,Vårvise i naustet,A,,75.0,1.0,,,,,,
W,Waltzing Mathilda,D,,76.0,1.0,,,,,,
,Whiskey in the Jar,A,,77.0,1.0,,,,,,
,Wild Rover,D,,78.0,1.0,,,,,,
Æ,Æille så ner som a Ingebjørg,G,,79.0,1.0,,,,,,
Å,"Å Marie, jeg vil hjem",G,,,1.0,,,,,,
