Kommentarer (0-5),Kvinne,Musescore,Melodi,Komponist,Levde når,Lyrikk,Unnamed: 7,Når komponert,Unnamed: 9,Unnamed: 10,Diverse kommentarer,Egne noter,Forlag,Platenr.,Unnamed: 15
,,,Dagen viger og går bort,,,,,,,,,,,,
4,,x,Nocturne,"Abesser, Edmund",1839 - 1889,,,1875-76,"From ""Musik for de 1000 hjem""",,,,Henrik Henning,2644,
,K,Privat,Bryllupstoner,"Alm, Anna",1880 - 1935,,,1929,,,,,,,
3,K,x,Bygden min,"Alm, Anna",1880 - 1935,Ingrid Arnulf,1894 - 1978,1930,Nationen 1930,,,,,,
,K,,Bøndere kommer,"Alm, Anna",1880 - 1935,,,,,,,,,,
,K,x,Salme,"Alm, Anna",1880 - 1935,Anders Hovden,1860 - 1943,,,,,,,,
3,,x,Anne Knutsdotter,"Alnæs,  Eyvind",1872 - 1932,,,1930,Folksong arranged by Eyvind Alnæs,,,,Norsk Notestik,181,
,,,Barnas Album,"Alnæs,  Eyvind",1872 - 1932,,,1928,40 compositions by various composers,,,,Norsk Musikforlag,6161,
3,,x,"Den store, hvide flok","Alnæs,  Eyvind",1872 - 1932,,,1899,,,,,,,
3,,x,Gyngevise,"Alnæs,  Eyvind",1872 - 1932,"Krag, Vilhelm",1871 - 1933,1892,Op 1. No 4,,,,Carl Warmuth,1794,
,,x,Haust,"Alnæs, Eyvind",1872 - 1932,Per Sivle,1857 - 1904,1905,Op 18. No 4,,,,Oluf By,237,
,,x,Sidste reis,"Alnæs, Eyvind",1872 - 1932,"Wergeland, Henrik",1808 - 1845,1905,Op 17 No .2 (Pianoarr. From 1915),,,,"Wilhelm Hansen, Leipzig",,
3,K,x,Hjördis Rheinländer,"Andersen, Dagny",1867 - 1940,,,1888,,,,,Carl Warmuth,1352,
,,,Er du min Engel?,"Andersen, Olaf",,Inga Frodesen,,,,,,,,,
,KS,,En vacker höstdag,"Andrée, Elfrida",1841 - 1929,Sven Adolf Hedlund,1821 - 1900,1881,Opus 8 No. 1,,,,,,
,KS,x,Julstämning,"Andrée, Elfrida",1841 - 1929,,,1891,,,7,,,,
4,,x,Am letzten Abend des Jahres,"Anthes, Johann Adam",1788 - 1843,"Schink, Johann Friedrick",1755 - 1835,1825,Opus 5,,,,,,
,K,x,Harehop,"Arneberg, Sigrid",1879 - 1939,,,1914,,,,,,,
,K,x,Kirsten Jordbærpike,"Arneberg, Sigrid",1879 - 1939,Gabriel Scott,1874 - 1958,<1916,,,,,,,
0,K,x,Snefnug-vals,"Arneberg, Sigrid",1879 - 1939,,,1914,,,,,Oluf By,,
3,KU,x,Mazurka Brilliante,"Badarzewska, Theckla",1834 - 1861,,,1850s?,,,,,Abraham Lundquist,,
3,,x,Jobbe-Fish-Walk,"Baden, Johan",1888 - 1959,,,1916,,,,,Oluf By,1464,
,,,Nordischer Tanznacht,Barde Hellfred,,,,1912,,,,,Haakon Zapffe,1180,
5,K,,Furukroken,"Barth-Lambach, Elisa",1857 - 1939,"Barth-Lambach, Elisa",1857 - 1939,1913,Op 4. No 2,,,,Haakon Zapffe,1207,
3,K,x,I Norge hev eg Heimen,"Barth-Lambach, Elisa",1857 - 1939,"Barth-Lambach, Elisa",1857 - 1939,1913,Op 4. No 3,,,,Haakon Zapffe,1207,
4,K,x,Nu til Bergen turen går,"Barth-Lambach, Elisa",1857 - 1939,"Barth-Lambach, Elisa",1857 - 1939,1928,Landsutstillingen Bergen 1928,,,Einar Økland,Einar Kaland,148,
,K,,Vaar,"Barth-Lambach, Elisa",1857 - 1939,"Barth-Lambach, Elisa",1857 - 1939,1913,Op 4. No 1,,,,Haakon Zapffe,1207,
4,,x,Foraarshilsen,"Beck, Christian",1846 - 1904,,,1894,,,,,Carl Warmuth,1948,
4,,x,Vuggevise,"Bedinger, Hugo",1876 - 1914,"Røse, Vilhelm",1863 - 1907,1897,,,,,Carl Gehrmans Musikförlag,1599,
5,,x,The Bobolink and the Wren,"Bennett, Leo",1881 - 1924,,,1916,Arr. Bjarne Rolseth 1919,,,,,,
3,,x,Christmas-Time,"Behr, Franz",1837 - 1898,,,1906,,,,,Etude,,
3,,x,La Clochette des Alpes,"Behr, Franz (Charles Morley)",1837 - 1898,,,1894,,,,,Carl Warmuth,2043,
,K,,Scherzo,"Benzon, Julie",1864 - 1945,,,,,,,,Wilhelm Hansen,J. B. II,
5,,x,"Roma, Schottisch.","Berg, Adolf",1877 - 1930,,,1905,,,,,C. W. C.,100,
4,K,x,Axwalla marsch,"Bergwitz-Goffeng, Hanna",1821 - 1879,,,1860,Warmuth published it in 1865.,,,,Carl Warmuth,25,
5,K,x,(5) Romancer og sange - Hefte I,"Bergwitz-Goffeng, Hanna",1821 - 1879,Various,,1866,,,,,,,
5,x,x,(7) Romancer og sange - Hefte II,"Bergwitz-Goffeng, Hanna",1821 - 1879,Various,,1867,,,,,Carl Warmuth,,
5,x,x,(5) Romancer og Sange - Hefte III,"Bergwitz-Goffeng, Hanna",1821 - 1879,Various,,1867-69?,Published by Warmuth 1875,,,,Carl Warmuth,,
,x,,Syv sange for en syngestemme,"Bergwitz-Goffeng, Hanna",1821 - 1879,,,,,,,,Carl Warmuth,,
,,,"Aa kjære , vene, inkje dröym!","Beyer, Frants",1851 - 1918,"Vinje, Aasmund Olavsson",1818 - 1870,1882,Seks sange - Op 2. No 4,,,,Wilhelm-Hansen,9917,
,,,Graaten,"Beyer, Frants",1851 - 1918,Kristofer Janson,1841 - 1917,1882,Seks sange - Op 2. No 6,,,,Wilhelm-Hansen,9917,
,,,Höst,"Beyer, Frants",1851 - 1918,"Beyer, Frants",1851 - 1918,1882,Seks sange - Op 2. No 3,,,,Wilhelm-Hansen,9917,
,,,Jeg ved ensteds mellem Barskovens Trør,"Beyer, Frants",1851 - 1918,"Moe, Jørgen",1813 - 1882,1882,Seks sange - Op 2. No 2,,,,Wilhelm-Hansen,9917,
,,,Millom Rosor,"Beyer, Frants",1851 - 1918,Kristofer Janson,1841 - 1917,1882,Seks sange - Op 2. No 5,,,,Wilhelm-Hansen,9917,
3,,,Spörgsmaal,"Beyer, Frants",1851 - 1918,"Beyer, Frants",1851 - 1918,1890,Fem sange - Op 3. No 5,,,,Wilhelm-Hansen,9917,
,,,Ved Lövfald,"Beyer, Frants",1851 - 1918,"Beyer, Frants",1851 - 1918,1882,Seks sange - Op 2. No 1,,,,Wilhelm-Hansen,9917,
5,,x,Jeg længes,"Billington, Karl",1864 - 1922,"Billington, Karl",1864 - 1922,1920?,,,,,Norsk Musikforlag,4892,
5,,,"Home, sweet Home","Bishop, Henry Rowley",1786 - 1855,John Howard Payne,1791 - 1852,1823,Fra Operaen Clari.,,,,,,
4,K,x,Fløitende Stær,"Bjelke-Andersen, Olga",1857 - 1940,"Jynge, Andreas",1879 - 1955,1902,,,,,,,
3,,x,Menuet,"Bjerke, Ole",1811 - 1881,,,1840s?,Published 1896,,,,Haakon Zapffe,217,
3,,x,En Stub,"Bjærum, Nicolai S.",1842 - 1913,,,1887,Nordisk Musiktidende  no 10 1887,,,,Carl Warmuth,,
,,x,O' vidste du bare,"Bjørnson, Bjørn",1859 - 1942,"Bjørnson, Bjørnstjerne ",1832- 1910,1891 (Folkebladet), Note 1895,,,,Wilhelm-Hansen,11600,
,,x,Du blomst i dug,"Bjørset, Karl",1854 - 1912,Jens Peter Jacobsen,1847 - 1885,1904,,,,,Carl Warmuth,2659,
,,x,Dulgt kjærlighed,"Bjørset, Karl",1854 - 1912,"Bjørnson, Bjørnstjerne ",1832- 1910,1888,Op. 1,,,,Brødrene Hals,355,
,,,1905 vals,"Bodom, Erika",1861 - 1942,,,1910,Composer Ole Reitan,,,,,,
,K,x,Gammel norsk Bryllupsmarsch,"Bodom, Erika",1861 - 1942,,,1907,,,,Ikke egne noter.,,,
,K,x,Hon band sin krans,"Bodom, Erika",1861 - 1942,Anna Troili,1860 - 1943,1922,Op. 9,,,,Eget forlag,,
