Unnamed: 0,Melodi,Komponist,Levde når,Lyrikk,Levde når.1,Når komponert,Diverse,Diverse.1,Dublett?,Forlag,Nr.,Unnamed: 12
,Rosarita,"""Appunto""",,Claus Frimann Clasen (Lyktemannen),1894 - 1970,1927,"""En ung Oslomusiker""",,,,,
,Kaffe-visen,?,,Claus Frimann Clasen (Lyktemannen),1894 - 1970,,,,,,,
,Den har jeg aleine,"Abrahamsen, Julius",1906 - 1999,"Bø, Finn",1893 - 1962,1934,"Premie i ""Roseslageren""",,,Norsk Musikforlag,6903,
,Vi er glade sjeler,"Abrahamsen, Julius",1906 - 1999,Per Kvist,1890 - 1947,1931,3 premie slagerkonkurransen 1931,,,Norsk Musikforlag,7248?,
,"Godnatt, lille venn!","Abrahamsen, Julius",1906 - 1999,,,1934,"A-magasinet Nr. 34, 1934",,,,,
,Gå til sjös gutt,"Abrahamsen, Julius",1906 - 1999,Per Kvist,1890 - 1947,1931,1 premie slagerkonkurransen 1931,,,,,
,Kårlek i Sevilla,"Ahlin, Ernfrid",1904 - 1969,Roland (Levin),1911 - 2003,1934,,,,"Ahlins Musikförlag, Stockholm",29,
,I et lite rum med morgensol,"Ahlin, Ernfrid",1904 - 1969,Jens Book Jenssen (Peter Coob),1910 - 1999,1937,,,,Ahlins Musikförlag,121,
,En liten hästsko,"Ahlin, Ernfrid",1904 - 1969,Sven Paddock,1909 - 1982,1937,,,,Ahlins Musikförlag,130,
,Et paradis for to,"Ahlin, Ernfrid",1904 - 1969,Jens Book Jenssen (Peter Coob),1910 - 1999,1937,,,,Ahlins Musikførlag,127,
,"Ro, ro til store Fiskeskjær","Ahlin, Ernfrid",1904 - 1969,"Hansen, Juul",1913 - 1981,1940?,,,,Carl M. Iversen,162,
,En kväll vid Öresund,"Ahlin, Ernfrid",1904 - 1969,John Coldèn,,1930,,,,,,
,Et hjerte som brister,"Ahlin, Ernfrid",1904 - 1969,"Hansen, Juul",1913 - 1981,1943,"Fra filmen ""En slager blir til"".",,,,,
,Hva var vel livet uten deg,"Ahlin, Ernfrid",1904 - 1969,Gunnar Kaspersen,1907 - 1991,1951,"Fra filmen ""Vi gifter oss""",,,,,
,Här har du en gammalvals,"Ahlin, Ernfrid",1904 - 1969,Jens Book Jenssen,1910 - 1999,1936,,,,Ahlins Musikförlag,100,
,Kompassen pekar nu åter mot nord,"Ahlin, Ernfrid",1904 - 1969,Roland (Levin),1911 - 2003,1945,,,,,,
,På en resa från Hongkong till Hull,"Ahlin, Ernfrid",1904 - 1969,Roland (Levin),1911 - 2003,1935,,,,Ahlins Musikförlag,54,
,Trekkspillguttenes parade,"Akre, Ottar E.",1896 - 1992,,,1937,,,,Carl M. Iversen,1001,
,Stormy Weather,"Arlen, Harold",1904 - 1986,"Koehler, Ted",1894 - 1973,1933,Omtale,,,,,
,Lillegutt og Far,Alf Ordon (Alf Johnsen),,Alf Ordon,,,,,,Eget forlag,,
x,Gutten som har vaska sig,Alf Peaters & Ernst Rolf,,"Bø, Finn",1893 - 1962,1925,,,,,,
,Stjerneglimt,"Allan Stensvold
Laurie Mackenzie","1909? - 1975
1902 - 1962",Frithjof Granli,1905 - 1965,1942,,,,,,
,Bondevalsen,"Alm, Anna",1880 - 1935,J. Arnulf,,1929,(Ernst) Rolf Revyen,,,,,
,Bryllupstoner,"Alm, Anna",1880 - 1935,,,1929,,,,,,
,Lykke til,"Alm, Anna",1880 - 1935,"Alm, Anna",1880 - 1935,ca 1930,,,,,,
,Ole Lukkeøye,"Almqvist, Ingrid",1915 - 1993,"Almqvist, Ingrid",1915 - 1993,1951,,,2,Musikkhuset A/S,1077,
,Symfoni,"Alstone, Alex",1903 - 1982,Roger Bernstein & Andre Tabet,,1937,,,,Norsk Schlager Forlag,1,
,Lille Tornerose sover,"Amdahl, Bjarne",1903 - 1968,Gunnar Kaspersen,1907 - 1991,,,,,Musikk-huset,327,
