Unnamed: 0,Unnamed: 1,Komponist,Unnamed: 3,Evt. Tekstforfatter,Unnamed: 5,Komponert,Unnamed: 7,Kilde,Unnamed: 9,Unnamed: 10
,Parademarsj,,,,,,,,,
,Pomme de reinettes,,,,,,,,,
,Rotnheims-Knut,,,,,,,,,
,Heldalen,,,,,,,,Ikke ferdig,
,Brylluppet hos gjøken,German folk song,,Mathias Abrahamsen,1875 - 1957?,,,,,
,Risørsangen,"Backer Lunde, Johan",1874 - 1958,Mathias Abrahamsen,1875 - 1957?,1934,,Aust Agder Blad 23. november 1934,,
,En sang til elvenes elv,"Lone, Henrik",1881 - 1953,Henrik Lone,1881 - 1953,,,Sang til Glomma,,
,Nord-Trøndelagssongen,Ludvig Moe Weigner,1905 - 1986,Olav Hougen,1890 - 1953,,,,,
,På låven sitter nissen,Franz Meissner,,Margrethe Munthe,1860 - 1931,1892,,"""På låven sitter nissen""",,
,Sov södt mit lille Barn,"Thee, Johan",1850 - 1913,Johan Thee,1850 - 1913,,,Johan Thee Nielssen,,
,Traaeren,"Lier, Oscar",1882 - 1968,,,1914,,,Haakon Zapffe,1220
,,,,,,,,,,
,Grinisanger:,,,,,,,,,
,Grinidrømme,"Korneliussen, Kåre",1916 - 1980,"Berg, Leif",? - <1974,1944-45,,,,
,Grinifangens lengsel,"Korneliussen, Kåre",1916 - 1980,"Berg, Leif",? - <1974,1944-45,,,,
,,,,,,,,,,
,Kongesangen,"Carey, Henry",1687 - 1743,N. Fogtmann,,ca 1740,,,,
,Kongesangen,"Weyse, Christoph E. F.",1774 - 1842,Elias Blix,1836 - 1902,1826,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Norge er vårt igjen,"Hauge, Eivind",,Eivind Hauge,,1945,,,,
,Russ! Russ! Russ!,"Haugen, Harald",1905 - 1982,,,,,,,
,Furuskog-visa,"Lervik, Asmund",1913 - 1997,Olav Brosveet,1930 - 2014,1963,,,,
,Veslefrikk,"Henschien, Harald",,,,1949,,Til Harald Henschiens 25års jubileum,,
,Im Grünen,"Aletter, Wilhelm",1867 - 1934,,,,,,,
,,,,,,,,,,
5.0,Alle flag op i dag,Trad,,Margrethe Munthe,1860 - 1931,1906,,Arr: Gustav Fr. Lange 1861 - 1939,J. W. Cappelen,1906
5.0,"Kom, skal vi synge I",Trad,,Margrethe Munthe,1860 - 1931,1905,,Arr: Gustav Fr. Lange 1861 - 1939,1905,
4.0,Kom skal vi synge II,Trad,,Margrethe Munthe,1860 - 1931,1907,,Arr: Gustav Fr. Lange 1861 - 1939,J. W. Cappelen,
4.0,Kom skal vi synge III,Trad,,Margrethe Munthe,1860 - 1931,1918,,Arr: Gustav Fr. Lange 1861 - 1939,J. W. Cappelen,4?
5.0,"Konge, du er vor",Trad (Louis Spohr),,Margrethe Munthe,1860 - 1931,1906,,Arr: Gustav Fr. Lange 1861 - 1939,J. W. Cappelen,1906
5.0,Vi synger for vor prins!,"Trad (Horneman, Emil)",1809 - 1870,Margrethe Munthe,1860 - 1931,1906,,,J. W. Cappelen,1906
4.0,Syv Julesange for Börn,Trad,,,,1896,,,Carl Warmuth,2170
4.0,The Lancers,Trad,,,,1876,,,Carl Warmuth,217/1384
,,,,,,,,,,
,Zwei Lieder,"Eberler, Otto",,"Gulbransson, Grete",1881 - 1934,1916,,,Otto Halbreiter,126
4.0,Nansen's trip to the Northpole,"Lage, Henry",,,,1898,,"Self published, Omaha Nebraska",,
4.0,Annie Laurie,"Himmelreich, Ferdinand",1880 - 1937,,,1925,,Theo Presser.,,
2.0,Love's romance,"Himmelreich, Ferdinand",1880 - 1937,,,1911,,Theo Presser.,,
,Serenade,"Körling, Felix",,,,,,,,
5.0,Le Golden Fox Trot,"Salabert, Francis
Huguet-Tagell, Rogeli","1884 - 1946
1882 - 1956",,,1915,,,Francis Salabert,789
3.0,Sefira,"Siede, Ludwig",1888 - 1956,,,1913,Opus 47,,Anton J. Benjamin Hamburg,4191
4.0,Pelikan,"Aleppo, W",,,,1921,,,"Colosseum-Verlag, Berlin",510
4.0,Blondy's melody,"Olsen, Elmer",1892 - 1928,"Berverly, Sam",1891 - 1920,1914,,,,
5.0,Sweet Suzanne,"Olsen, Elmer",1892 - 1928,"Santrey, Henry",1882 - 1958,1918,,,,
,,,,,,,,,,
5.0,What are the Poor Girls going to Do?,"Olsen, Elmer",1892 - 1928,"Olsen, Elmer",1892 - 1928,1917,,,,
1.0,Gypsy Rose,"Olsen, Elmer",1892 - 1928,"Olsen, Elmer",1892 - 1928,1917,,,"Church, Paxon & Co New York",
5.0,La Madone,"Sweet, Albert S.",1833 - 1897,,,1889?,,,,
,Wooden shoes,Gibson Cook,1866 - 1946,,,1910,The Crescendo magazine Nov. 1913,,The Crescendo magazine Nov. 1913,
