Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,IMSPL,Musescore,PDF
,,,,,,,,,,,,,,,,,,
,x,Am Strande,"Posca, George",1848 -  < 1933,,,1882,Op 8. No. 2,,,,Anton J. Benjamin,,,,,,
,x,In der Fremde,"Posca, George",1848 -  < 1933,Heinrich Heine,1797 - 1856,1884,Op. 12 No. 2,,Ikke egne noter.,,,,,,,,
,x,In the Twilight,"Posca, George",1848 -  < 1933,,,<1916,,,Ikke egne noter.,,,,,,,,
,x,Je länger je lieber,"Posca, George",1848 -  < 1933,Julius Wolff,1834 - 1910,1884,Op. 12 No. 3,,Ikke egne noter.,,,,,,,,
,x,Liebesgluck,"Posca, George",1848 -  < 1933,Clarissa Lohde,1836 - 1915,1884,Op. 12 No. 1,,Ikke egne noter.,,,,,,,,
,x,Nocturno,"Posca, George",1848 -  < 1933,,,1881,Op.6 No.1,,Ikke egne noter.,,"Jean Haring, Hamburg",834.0,,Fräulein Agathe Lange,,,
,x,Impromptu,"Posca, George",1848 -  < 1933,,,1881,Op.6 No.2,,Ikke egne noter.,,"Jean Haring, Hamburg",835.0,,Fräulein Agathe Lange,,,
,x,"O leuchtende Erde, o strahlendes Licht","Posca, George",1848 -  < 1933,Ernst Scherenberg,1839 - 1905,1884,Op. 12 No. 6,,Ikke egne noter.,,,,,,,,
,x,Um Mittenacht,"Posca, George",1848 -  < 1933,Julius Rodenberg,1831 - 1914,1884,Op. 12 No. 4,,Ikke egne noter.,,,,,,,,
,x,"Verfehlte Liebe, verfehltes Leben","Posca, George",1848 -  < 1933,Heinrich Heine,1797 - 1856,1884,Op. 12 No. 5,,Ikke egne noter.,,,,,,,,
,,,,,,,,,,,,,,,,,,
1.0,x,Erste Romanze,"Posca, George",1848 -  < 1933,,,1885,Op. 13 No. 1,,Ikke egne noter.,,"Jean Haring, Hamburg",966.0,,Frau Anna Sieben,,,
,,Zweite Romanze,"Posca, George",1848 -  < 1933,,,1885,Op. 13 No. 2,,Ikke egne noter.,,"Jean Haring, Hamburg",967.0,,Fräulein Lieschen Neumann,,,
,,Dritte Romance,"Posca, George",1848 -  < 1933,,,1885,Op. 13 No. 3,,Ikke egne noter.,,"Jean Haring, Hamburg",968.0,,Frau Josefa Becker,,,
1.0,x,Menuett,"Posca, George",1848 -  < 1933,,,1886,Op. 17 No. 1,,Ikke egne noter.,,"Carl Paez, Berlin",219.0,,Fräulein Henriqueta Breuer,,,
,,Mazurka,"Posca, George",1848 -  < 1933,,,1886,Op. 17 No. 2,,Ikke egne noter.,,"Carl Paez, Berlin",220.0,,Fräulein Henriqueta Breuer,,,
,,Waltzer Caprice,"Posca, George",1848 -  < 1933,,,1887,Op. 18,,Ikke egne noter.,,"Jean Haring, Hamburg",1005.0,,Mary M. Bergmann,,,
4.0,,Flammende Liebe,"Posca, George",1848 -  < 1933,,,1897,Op. 26 No. 3,,Egne Noter !!,,"Johan Meyer, Hamburg",65.0,,,,,
,,Das gelbe Laub erzittert,"Posca, George",1848 -  < 1933,Heinrich Heine,1797 - 1856,1897,Op. 27 No. 1,,Egne Noter !!,,"Johan Meyer, Hamburg",66.0,,,,,
