Unnamed: 0,Unnamed: 1,Musescore,Melodi,Komponist,Levde når,Lyrikk,Levde når.1,Når komponert,Sanginfo,Dubletter,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
,,,Et brev med små violer,"Nelson, Steve",1907 - 1981,Georg Otto (Kurt Leisner),1917 - 2008,1948,,4.0,,,
,,,High Noon,"Tiomkin, Dimitri",1894 - 1979,Ned Washington,1901 - 1976,1952,,,,,
,,,Bli med i kano'n,"Piraly, Max",,Per Kvist,1890 - 1947,1926?,,,,,
,,,Hvor er min kone,"Vejvoda, Jaromir",1902 - 1988,,,1927,,,,,
,,,Colorado,Walter Hirsh & Harold A. Dellon,,R. H. S,,1924,,,,,
,,,Ramona,"Wayne, Mable",1890 - 1978,Louis Wolfe Gilbert,1886 - 1970,1927,Ramona,2.0,,,
,,x,On the road to Mandaly,"Speaks, Oley",1874 - 1948,Rudyard Kipling,1865 - 1936,1907,,,,,
,,,Our Waltz,"Rose, David",1910 - 1990,Nat Burton (Nat Schwartz),1901 - 1945,1942,,,,,
,,,Madeleine,Sidney Mills & Howard Brown,,Alfred Kjerulf,1892 - 1938,1928,,,,,
,,,Bimbo,Rod Morris,1919 - 1980,Juul Hansen,1913 - 1981,1948,Bimbo,,,,
,,,Romany love,John Stepan Zamecnik,1872 - 1953,Arthur J. Lamb,1870 - 1928,1922,,,,,
,,,Lago Maggiore,Benny De Weille,1915 - 1977,Juul Hansen,1913 - 1981,1951,,,,,
,,,Davy Crockett,George Bruns,1914 - 1983,Arne Bendiksen,1926 - 2009,1954,Davy Crockett,,,,
Ingen tekst,,,Drunt in der Lobau,Heinrich Strecker,1893 - 1981,Beda & Eckhardt ,,1928,,,,,
,,,I Rio de Janeiro,Alfredo Zmigrod,1905 - ?,Alfredo Zmigrod,1905 - ?,1949,,,,,
,,,Om flickor vore blommor,Pascal Bastia,1908 - 2007,Pascal Bastia,1908 - 2007,1938? / 1945,,,,,
,,,"Que Sera, Sera",Jay Livingston,1915 - 2001,Ray Evans,1915 - 2007,1955,"Que Sera, Sera",2.0,,,
,,,Valse Decembre,Walter Rolfe,1880 - 1944,,,1914,,,,,
,,,Harry Lime's Melodi,"Karas, Anton",1906 - 1985,,,1949,"Fra filmen ""Den tredje mann""",,,,
,,,Do'nt sit under the apple-tree,,,,,,,,,,
,,,Get me to the Church on time,,,,,,,,,,
,,,On the Sunny side of the street,,,,,,,,,,
,,,My heart is a Hobo,,,,,,,,,,
,,,Its Been a Long Long Time ,,,,,,,,,,
,,,Lady be good,,,,,,,,,,
,,,"Long, Long ago",,,,,,,,,,
,,,Love has its own refrain,,,,,,,,,,
,,,"Love, Look Away",,,,,,,,,,
,,,Sonny Boy,,,,,,,,,,
,,,That's My Desire,,,,,,,,,,
,,,The last rose of summer,,,,,,,,,,
,,,Slightly out of tune,,,,,,,,,,
,,,Whitecaps,,,,,,,,,,
,,,Maria Elena,,,,,,,,,,
,,,Valencia,,,,,,,,,,
,,,Elizabethan Serenade orkester,,,,,,,,,,
,,,The Rock And Roll Waltz,"Allen, Shorty",,Dick Ware,,,,,,,
,,,Kjærlighetens serenade,"""Glück""",,"""Teddy""",,1939,Presto forlag 1943,,,,
,,,Too young,Sid Lippman,1914 - 2003,Sylvia Dee,1914 - 1967,1951,Too young,,,,
,,,Picador,Horation Nicholls,1888 - 1964,,,1926,,,,,
,,,Lambeth Walk,Noel Gay                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,1898 - 1954,Douglas Furber,1885 - 1961,1937,Lambeth Walk,,,,
,,,La Cumparsita,Gerardo Matos Rodriguez,1897 - 1948,,,,La cumparsita,,,,
,,,Good night Irene,John Lomax,1867 - 1948,Huddie Ledbetter,1888 - 1949,,"Goodnight, Irene",,,,
,,,Moulin Rouge,George Auric,1899 - 1983,William Engvick,1914 - 2012,,Moulin Rouge,,,,
,,,Sugar Bush,Fred Michel,1898 - 1967,Josef Marais,1905 - 1978,,Sugar Bush,,,,
,,,"Hi - Lili, Hi - Lo",Bronislau Kaper,1902  1983,Helen Deutsch,1906 - 1992,1952,"Hi-Lili, Hi-Lo",,,,
,,,Peg O' my heart,Fred Fisher,1875 - 1942,Alfred Bryan,1871 - 1958,1913,Peg O' my heart,,,,
,,,Sous le Ciel de Paris,Hubert Giraud,1920 - 2016,Jean Dréjac,1921 - 2003,1951,Sous le ciel de Paris,,,,
,,,La Vie en rose,Louis Guglielmi,1916 - 1991,Edith Piaf,1915 - 1963,1946,La Vie en rose,,,,
,,,Fate,Byron Gay,1886 - 1945,Byron Gay,1886 - 1945,1922,,,,,
,,,My dreams are getting better all the time,Victor Mizzy,1916 - 2009,Manny Curtis,1911 - 1984,1944,My Dreams Are Getting Better All the Time,,,,
,,,Domino,Louis Ferrari,1910 - 1987,Jacques Plante,1920 - 2003,1950,Domino,,,,
,,,Min lille Mary-Ann,Wilhelm Grosz,1894 - 1939,Olav Rosenlind,1908 - ?,1936,,,,,
,,,Wa-tah-wall,Alberto Piantadosi,1882 - 1955,S. S. Wilson (Anita Halldén),1878 - 1970,1915,,,,,
,,,Varför jag kysste dig?,"King, Robert
Henderson, Roy","1860 - 1932
1896 - 1970",S. S. Wilson (Anita Halldén),1878 - 1970,1924,Why did I kiss that girl?,,,Ernst Rolf,334.0
,,,"Dear love, my love","Friml, Rudolf",1879 - 1972,"Hooker, Brian",1880 - 1946,1920,,,,,
,,,Rikke ved skrivemaskinen,"Krier, Georges",1872 - 1936,Henrik Harpestreng,1863 - 1935,1909,Pseudnym for Henrik A. Dedichen,,,,
