1905-noter_,Unnamed_2,Unnamed_3,Unnamed_4,Unnamed_5
,,,,
"Fløssel, P.",Kronprins Olav gavotte,Oluf By,,NB
"Hansen, Adolf",Benny vals ,Oluf By,,NB
"Haarklou, Johannes",Flere sanger for kor. ,,,
"Jakobsen, Johan Kielland",Bergen befæstningers marsch,Kaland,,NB
"Klein, B.",Norges høytidsstund er kommet,Kaland,,
"Larsen, Andreas",7 juni marsch ,,,
"Lepsøe, Christoffer: For fædrelandet, Enig, tro","For fædrelandet, Enig, tro",Kaland,Tekst: Loennecken,
"Munched, Margrethe",Vi synger for for prins,Cappelen,,NB
"Olsen, Ole",Prossesions-Intrada,Hals,,
"Schjelderup, Mon.",Alt for Norge,Eget,kor el. sang/piano,
"Teilman, Christian","Fædrelandssang, Nu fylkes vi.",Oluf By,,
"Teilman, Christian",Norsk kroningsmatsch ,Warmuth,,NB
"Ulsaker, Sven","Fedrelandshymne (Kor, sang/piano",Hals,,
"Wilkens, Sverre",Dronning Maud gavotte,Warmuth,,NB
"Aavatsmark, Ole Severin",Vort flag,Oluf By ,Kor,
,,,,
,,,,
,,,,
,,,,
NB = Nasjonalbiblioteket,,,,
