Kommentarer__0-5_,Kvinne,Musescore,Melodi,Melodi_link,Komponist,Komponist_link,Levde_når,Levde_når_link,Lyrikk,Lyrikk_link,Unnamed_8,Unnamed_8_link,Når_komponert,Når_komponert_link,Unnamed_10,Unnamed_10_link,Unnamed_11,Diverse_kommentarer,Diverse_kommentarer_link,Egne_noter,Forlag,Platenr_,Unnamed_16
,,,Dagen viger og går bort,,,,,,,,,,,,,,,,,,,,
4,,x,Nocturne,https://musescore.com/user/26911315/scores/24368029,"Abesser, Edmund",https://de.wikipedia.org/wiki/Edmund_Abesser,1839 - 1889,,,,,,1875-76,,"From ""Musik for de 1000 hjem""",,,,,,Henrik Henning,2644,
,K,Privat,Bryllupstoner,https://musescore.com/user/26911315/scores/7109798,"Alm, Anna",,1880 - 1935,,,,,,1929,,,,,,,,,,
3,K,x,Bygden min,https://musescore.com/user/26911315/scores/20986048,"Alm, Anna",,1880 - 1935,,Ingrid Arnulf,https://psykologisk.no/2021/11/klara-klok-var-hemmelig-vapenhandler/,1894 - 1978,,1930,,Nationen 1930,,,,,,,,
,K,,Bøndere kommer,,"Alm, Anna",,1880 - 1935,,,,,,,,,,,,,,,,
,K,x,Salme,https://musescore.com/user/26911315/scores/5956846,"Alm, Anna",,1880 - 1935,,Anders Hovden,https://no.wikipedia.org/wiki/Anders_Hovden,1860 - 1943,,,,,,,,,,,,
3,,x,Anne Knutsdotter,https://musescore.com/user/26911315/scores/11709058,"Alnæs,  Eyvind",https://no.wikipedia.org/wiki/Eyvind_Alnæs,1872 - 1932,,,,,,1930,,Folksong arranged by Eyvind Alnæs,,,,,,Norsk Notestik,181,
,,,Barnas Album,,"Alnæs,  Eyvind",https://no.wikipedia.org/wiki/Eyvind_Alnæs,1872 - 1932,,,,,,1928,,40 compositions by various composers,,,,,,Norsk Musikforlag,6161,
3,,x,"Den store, hvide flok",https://musescore.com/user/26911315/scores/21013603,"Alnæs,  Eyvind",https://no.wikipedia.org/wiki/Eyvind_Alnæs,1872 - 1932,,,,,,1899,,,,,,,,,,
3,,x,Gyngevise,https://musescore.com/user/26911315/scores/23988385,"Alnæs,  Eyvind",https://no.wikipedia.org/wiki/Eyvind_Alnæs,1872 - 1932,,"Krag, Vilhelm",https://no.wikipedia.org/wiki/Vilhelm_Krag,1871 - 1933,,1892,,Op 1. No 4,,,,,,Carl Warmuth,1794,
,,x,Haust,https://musescore.com/user/26911315/scores/6191291,"Alnæs, Eyvind",https://no.wikipedia.org/wiki/Eyvind_Alnæs,1872 - 1932,,Per Sivle,https://no.wikipedia.org/wiki/Per_Sivle,1857 - 1904,,1905,,Op 18. No 4,,,,,,Oluf By,237,
,,x,Sidste reis,https://musescore.com/user/26911315/scores/8638029,"Alnæs, Eyvind",https://no.wikipedia.org/wiki/Eyvind_Alnæs,1872 - 1932,,"Wergeland, Henrik",https://no.wikipedia.org/wiki/Henrik_Wergeland,1808 - 1845,,1905,,Op 17 No .2 (Pianoarr. From 1915),,,,,,"Wilhelm Hansen, Leipzig",,
3,K,x,Hjördis Rheinländer,https://musescore.com/user/26911315/scores/8222489,"Andersen, Dagny",https://www.nb.no/items/60199f1b87cd12f386a1ddfff242bcff?page=11,1867 - 1940,,,,,,1888,,,,,,,,Carl Warmuth,1352,
,,,Er du min Engel?,,"Andersen, Olaf",,,,Inga Frodesen,,,,,,,,,,,,,,
,KS,,En vacker höstdag,,"Andrée, Elfrida",http://www.levandemusikarv.se/tonsattare/andree-elfrida/,1841 - 1929,,Sven Adolf Hedlund,https://sv.wikipedia.org/wiki/Sven_Adolf_Hedlund,1821 - 1900,,1881,,Opus 8 No. 1,,,,,,,,
,KS,x,Julstämning,https://musescore.com/user/26911315/scores/5890287,"Andrée, Elfrida",http://www.levandemusikarv.se/tonsattare/andree-elfrida/,1841 - 1929,,,,,,1891,,,,,7,,,,,
4,,x,Am letzten Abend des Jahres,https://musescore.com/user/26911315/scores/13735543,"Anthes, Johann Adam",http://www.mmm2.mugemir.de/doku.php?id=anthes,1788 - 1843,,"Schink, Johann Friedrick",https://de.wikipedia.org/wiki/Johann_Friedrich_Schink,1755 - 1835,,1825,,Opus 5,,,,,,,,
,K,x,Harehop,https://musescore.com/user/26911315/scores/5965576,"Arneberg, Sigrid",,1879 - 1939,,,,,,1914,,,,,,,,,,
,K,x,Kirsten Jordbærpike,https://musescore.com/user/26911315/scores/5965582,"Arneberg, Sigrid",,1879 - 1939,,Gabriel Scott,https://no.wikipedia.org/wiki/Gabriel_Scott,1874 - 1958,,<1916,,,,,,,,,,
0,K,x,Snefnug-vals,https://musescore.com/user/26911315/scores/5965572,"Arneberg, Sigrid",,1879 - 1939,,,,,,1914,,,,,,,,Oluf By,,
3,KU,x,Mazurka Brilliante,https://musescore.com/user/26911315/scores/14686000,"Badarzewska, Theckla",https://en.wikipedia.org/wiki/Tekla_Bądarzewska-Baranowska,1834 - 1861,,,,,,1850s?,,,,,,,,Abraham Lundquist,,
3,,x,Jobbe-Fish-Walk,https://musescore.com/user/26911315/scores/6778491,"Baden, Johan",https://lokalhistoriewiki.no/wiki/Johan_Badens_veg,1888 - 1959,,,,,,1916,,,,,,,,Oluf By,1464,
,,,Nordischer Tanznacht,,Barde Hellfred,,,,,,,,1912,,,,,,,,Haakon Zapffe,1180,
5,K,,Furukroken,,"Barth-Lambach, Elisa",https://www.nb.no/items/269f1d6860b3d3a3b9bfb8e0bc2b87a4?page=41&searchText=%22Barth%20Lambach%22,1857 - 1939,,"Barth-Lambach, Elisa",https://www.nb.no/items/269f1d6860b3d3a3b9bfb8e0bc2b87a4?page=41&searchText=%22Barth%20Lambach%22,1857 - 1939,,1913,,Op 4. No 2,,,,,,Haakon Zapffe,1207,
3,K,x,I Norge hev eg Heimen,https://musescore.com/user/26911315/scores/6635679,"Barth-Lambach, Elisa",https://www.nb.no/items/269f1d6860b3d3a3b9bfb8e0bc2b87a4?page=41&searchText=%22Barth%20Lambach%22,1857 - 1939,,"Barth-Lambach, Elisa",https://www.nb.no/items/269f1d6860b3d3a3b9bfb8e0bc2b87a4?page=41&searchText=%22Barth%20Lambach%22,1857 - 1939,,1913,,Op 4. No 3,,,,,,Haakon Zapffe,1207,
4,K,x,Nu til Bergen turen går,https://musescore.com/user/26911315/scores/20413228,"Barth-Lambach, Elisa",https://www.nb.no/items/269f1d6860b3d3a3b9bfb8e0bc2b87a4?page=41&searchText=%22Barth%20Lambach%22,1857 - 1939,,"Barth-Lambach, Elisa",https://www.nb.no/items/269f1d6860b3d3a3b9bfb8e0bc2b87a4?page=41&searchText=%22Barth%20Lambach%22,1857 - 1939,,1928,,Landsutstillingen Bergen 1928,https://no.wikipedia.org/wiki/Landsutstillingen_i_Bergen_1928,,,,Einar Økland,Einar Kaland,148,
,K,,Vaar,,"Barth-Lambach, Elisa",https://www.nb.no/items/269f1d6860b3d3a3b9bfb8e0bc2b87a4?page=41&searchText=%22Barth%20Lambach%22,1857 - 1939,,"Barth-Lambach, Elisa",https://www.nb.no/items/269f1d6860b3d3a3b9bfb8e0bc2b87a4?page=41&searchText=%22Barth%20Lambach%22,1857 - 1939,,1913,,Op 4. No 1,,,,,,Haakon Zapffe,1207,
4,,x,Foraarshilsen,https://musescore.com/user/26911315/scores/20465590,"Beck, Christian",https://www.nb.no/items/fce0a682363aada4dea9296b29a96ccf?page=53&searchText=%22Christian%20Beck%20Johan%22,1846 - 1904,,,,,,1894,,,,,,,,Carl Warmuth,1948,
4,,x,Vuggevise,https://musescore.com/user/26911315/scores/14343706,"Bedinger, Hugo",https://sv.wikipedia.org/wiki/Hugo_Bedinger,1876 - 1914,,"Røse, Vilhelm",,1863 - 1907,,1897,,,,,,,,Carl Gehrmans Musikförlag,1599,
5,,x,The Bobolink and the Wren,https://musescore.com/user/26911315/scores/13081906,"Bennett, Leo",,1881 - 1924,,,,,,1916,,Arr. Bjarne Rolseth 1919,,,,,,,,
3,,x,Christmas-Time,https://musescore.com/user/26911315/scores/22552075,"Behr, Franz",https://en.wikipedia.org/wiki/Franz_Behr,1837 - 1898,,,,,,1906,,,,,,,,Etude,,
3,,x,La Clochette des Alpes,https://musescore.com/user/26911315/scores/17621956,"Behr, Franz (Charles Morley)",https://en.wikipedia.org/wiki/Franz_Behr,1837 - 1898,,,,,,1894,,,,,,,,Carl Warmuth,2043,
,K,,Scherzo,,"Benzon, Julie",,1864 - 1945,,,,,,,,,,,,,,Wilhelm Hansen,J. B. II,
5,,x,"Roma, Schottisch.",https://musescore.com/user/26911315/scores/8330012,"Berg, Adolf",https://www.nb.no/items/21b5a27348505b4e2a1027e5b6ba20a8?page=0,1877 - 1930,,,,,,1905,,,,,,,,C. W. C.,100,
4,K,x,Axwalla marsch,https://musescore.com/user/26911315/scores/12544645,"Bergwitz-Goffeng, Hanna",https://nl-m-wikipedia-org.translate.goog/wiki/Hanna_Bergwitz-Goffeng?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en,1821 - 1879,,,,,,1860,,Warmuth published it in 1865.,,,,,,Carl Warmuth,25,
5,K,x,(5) Romancer og sange - Hefte I,https://musescore.com/user/26911315/scores/12182149,"Bergwitz-Goffeng, Hanna",https://nl-m-wikipedia-org.translate.goog/wiki/Hanna_Bergwitz-Goffeng?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en,1821 - 1879,,Various,,,,1866,,,,,,,,,,
5,x,x,(7) Romancer og sange - Hefte II,https://musescore.com/user/26911315/scores/8355480,"Bergwitz-Goffeng, Hanna",https://nl-m-wikipedia-org.translate.goog/wiki/Hanna_Bergwitz-Goffeng?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en,1821 - 1879,,Various,,,,1867,,,,,,,,Carl Warmuth,,
5,x,x,(5) Romancer og Sange - Hefte III,https://musescore.com/user/26911315/scores/13984552,"Bergwitz-Goffeng, Hanna",https://nl-m-wikipedia-org.translate.goog/wiki/Hanna_Bergwitz-Goffeng?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en,1821 - 1879,,Various,,,,1867-69?,,Published by Warmuth 1875,,,,,,Carl Warmuth,,
,x,,Syv sange for en syngestemme,,"Bergwitz-Goffeng, Hanna",https://nl-m-wikipedia-org.translate.goog/wiki/Hanna_Bergwitz-Goffeng?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en,1821 - 1879,,,,,,,,,,,,,,Carl Warmuth,,
,,,"Aa kjære , vene, inkje dröym!",,"Beyer, Frants",https://no.wikipedia.org/wiki/Frants_Beyer,1851 - 1918,,"Vinje, Aasmund Olavsson",https://no.wikipedia.org/wiki/Aasmund_Olavsson_Vinje,1818 - 1870,,1882,,Seks sange - Op 2. No 4,,,,,,Wilhelm-Hansen,9917,
,,,Graaten,,"Beyer, Frants",https://no.wikipedia.org/wiki/Frants_Beyer,1851 - 1918,,Kristofer Janson,https://no.wikipedia.org/wiki/Kristofer_Janson,1841 - 1917,,1882,,Seks sange - Op 2. No 6,,,,,,Wilhelm-Hansen,9917,
,,,Höst,,"Beyer, Frants",https://no.wikipedia.org/wiki/Frants_Beyer,1851 - 1918,,"Beyer, Frants",https://no.wikipedia.org/wiki/Frants_Beyer,1851 - 1918,,1882,,Seks sange - Op 2. No 3,,,,,,Wilhelm-Hansen,9917,
