Unnamed_1,Melodi,Melodi_link,Komponist,Komponist_link,Levde_når,Levde_når_link,Lyrikk,Lyrikk_link,Levde_når_2,Levde_når_2_link,Når_komponert,Når_komponert_link,Diverse,Diverse_link,Diverse_2,Diverse_2_link,Dublett_,Forlag,Forlag_link,Nr_,Unnamed_13
,Rosarita,https://musescore.com/user/26911315/scores/7064444,"""Appunto""",,,,Claus Frimann Clasen (Lyktemannen),https://no.wikipedia.org/wiki/Claus_Frimann_Clasen,1894 - 1970,,1927,,"""En ung Oslomusiker""",https://www.nb.no/items/4652e4d4031933d5124cd919611209fe?page=3&searchText=%22Rosarita%22,,,,,,,
,Kaffe-visen,https://musescore.com/user/26911315/scores/7035836,?,,,,Claus Frimann Clasen (Lyktemannen),https://no.wikipedia.org/wiki/Claus_Frimann_Clasen,1894 - 1970,,,,,,,,,,,,
,Den har jeg aleine,https://musescore.com/user/26911315/scores/7106731,"Abrahamsen, Julius",https://www.nb.no/items/4bc905963fd578ee4dc075009a800939?page=1&searchText=%22Julius%20Abrahamsen%22,1906 - 1999,https://www.nb.no/search?q=%22Julius%20Abrahamsen%22&mediatype=aviser&sort=datedesc&fromDate=19990101&toDate=19991231,"Bø, Finn",https://no.wikipedia.org/wiki/Finn_Bø,1893 - 1962,,1934,https://www.nb.no/items/56b2282e52359b072e580944661838da?page=1&searchText=%22Julius%20Abrahamsen%22,"Premie i ""Roseslageren""",,,,,Norsk Musikforlag,,6903,
,Vi er glade sjeler,https://musescore.com/user/26911315/scores/7097883,"Abrahamsen, Julius",https://www.nb.no/items/4bc905963fd578ee4dc075009a800939?page=1&searchText=%22Julius%20Abrahamsen%22,1906 - 1999,https://www.nb.no/search?q=%22Julius%20Abrahamsen%22&mediatype=aviser&sort=datedesc&fromDate=19990101&toDate=19991231,Per Kvist,https://no.wikipedia.org/wiki/Per_Kvist,1890 - 1947,,1931,,3 premie slagerkonkurransen 1931,https://www.nb.no/items/490e85e870a1e1b53879cbf035a49b3d?page=1&searchText=%22Julius%20Abrahamsen%22,,,,Norsk Musikforlag,,7248?,
,"Godnatt, lille venn!",,"Abrahamsen, Julius",https://www.nb.no/items/4bc905963fd578ee4dc075009a800939?page=1&searchText=%22Julius%20Abrahamsen%22,1906 - 1999,https://www.nb.no/search?q=%22Julius%20Abrahamsen%22&mediatype=aviser&sort=datedesc&fromDate=19990101&toDate=19991231,,,,,1934,,"A-magasinet Nr. 34, 1934",,,,,,,,
,Gå til sjös gutt,https://musescore.com/user/26911315/scores/7015331,"Abrahamsen, Julius",https://www.nb.no/items/4bc905963fd578ee4dc075009a800939?page=1&searchText=%22Julius%20Abrahamsen%22,1906 - 1999,https://www.nb.no/search?q=%22Julius%20Abrahamsen%22&mediatype=aviser&sort=datedesc&fromDate=19990101&toDate=19991231,Per Kvist,https://no.wikipedia.org/wiki/Per_Kvist,1890 - 1947,,1931,,1 premie slagerkonkurransen 1931,https://www.nb.no/items/490e85e870a1e1b53879cbf035a49b3d?page=1&searchText=%22Julius%20Abrahamsen%22,,,,,,,
,Kårlek i Sevilla,https://musescore.com/user/26911315/scores/7290263,"Ahlin, Ernfrid",https://sv.wikipedia.org/wiki/Ernfrid_Ahlin,1904 - 1969,,Roland (Levin),https://no.wikipedia.org/wiki/Roland_Levin,1911 - 2003,,1934,,,,,,,"Ahlins Musikförlag, Stockholm",,29,
,I et lite rum med morgensol,https://musescore.com/user/26911315/scores/7342340,"Ahlin, Ernfrid",https://sv.wikipedia.org/wiki/Ernfrid_Ahlin,1904 - 1969,,Jens Book Jenssen (Peter Coob),https://no.wikipedia.org/wiki/Jens_Book-Jenssen,1910 - 1999,,1937,,,,,,,Ahlins Musikförlag,,121,
,En liten hästsko,https://musescore.com/user/26911315/scores/21409384,"Ahlin, Ernfrid",https://sv.wikipedia.org/wiki/Ernfrid_Ahlin,1904 - 1969,,Sven Paddock,https://sv.wikipedia.org/wiki/Sven_Paddock,1909 - 1982,,1937,,,,,,,Ahlins Musikförlag,,130,
,Et paradis for to,https://musescore.com/user/26911315/scores/7271468,"Ahlin, Ernfrid",https://sv.wikipedia.org/wiki/Ernfrid_Ahlin,1904 - 1969,,Jens Book Jenssen (Peter Coob),https://no.wikipedia.org/wiki/Jens_Book-Jenssen,1910 - 1999,,1937,,,,,,,Ahlins Musikførlag,,127,
,"Ro, ro til store Fiskeskjær",https://musescore.com/user/26911315/scores/7836566,"Ahlin, Ernfrid",https://sv.wikipedia.org/wiki/Ernfrid_Ahlin,1904 - 1969,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1940?,,,,,,,Carl M. Iversen,,162,
,En kväll vid Öresund,https://musescore.com/user/26911315/scores/7013069,"Ahlin, Ernfrid",https://sv.wikipedia.org/wiki/Ernfrid_Ahlin,1904 - 1969,,John Coldèn,,,,1930,,,,,,,,,,
,Et hjerte som brister,https://musescore.com/user/26911315/scores/7298828,"Ahlin, Ernfrid",https://sv.wikipedia.org/wiki/Ernfrid_Ahlin,1904 - 1969,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1943,,"Fra filmen ""En slager blir til"".",,,,,,,,
,Hva var vel livet uten deg,https://musescore.com/user/26911315/scores/17284585,"Ahlin, Ernfrid",https://sv.wikipedia.org/wiki/Ernfrid_Ahlin,1904 - 1969,,Gunnar Kaspersen,https://no.wikipedia.org/wiki/Gunnar_Kaspersen,1907 - 1991,,1951,,"Fra filmen ""Vi gifter oss""",https://no.wikipedia.org/wiki/Vi_gifter_oss,,,,,,,
