Unnamed_1,Unnamed_2,Unnamed_2_link,Komponist,Komponist_link,Unnamed_4,Evt__Tekstforfatter,Evt__Tekstforfatter_link,Unnamed_6,Komponert,Unnamed_8,Kilde,Kilde_link,Unnamed_10,Unnamed_11
,Parademarsj,,,,,,,,,,,,,
,Pomme de reinettes,,,,,,,,,,,,,
,Rotnheims-Knut,,,,,,,,,,,,,
,Heldalen,,,,,,,,,,,,Ikke ferdig,
,Brylluppet hos gjøken,https://musescore.com/user/26911315/scores/6737666,German folk song,,,Mathias Abrahamsen,,1875 - 1957?,,,,,,
,Risørsangen,https://musescore.com/user/26911315/scores/6737616,"Backer Lunde, Johan",https://no.wikipedia.org/wiki/Johan_Backer_Lunde,1874 - 1958,Mathias Abrahamsen,,1875 - 1957?,1934,,Aust Agder Blad 23. november 1934,,,
,En sang til elvenes elv,,"Lone, Henrik",,1881 - 1953,Henrik Lone,,1881 - 1953,,,Sang til Glomma,,,
,Nord-Trøndelagssongen,,Ludvig Moe Weigner,https://lokalhistoriewiki.no/wiki/Ludvig_Moe_Weigner,1905 - 1986,Olav Hougen,https://no.wikipedia.org/wiki/Olav_Hougen,1890 - 1953,,,,,,
,På låven sitter nissen,https://musescore.com/user/26911315/scores/14298583,Franz Meissner,,,Margrethe Munthe,https://no.wikipedia.org/wiki/Margrethe_Munthe,1860 - 1931,1892,,"""På låven sitter nissen""",https://no.wikipedia.org/wiki/På_låven_sitter_nissen,,
,Sov södt mit lille Barn,,"Thee, Johan",,1850 - 1913,Johan Thee,,1850 - 1913,,,Johan Thee Nielssen,,,
,Traaeren,,"Lier, Oscar",https://snl.no/Oscar_Lier,1882 - 1968,,,,1914,,,,Haakon Zapffe,1220
,,,,,,,,,,,,,,
,Grinisanger:,,,,,,,,,,,,,
,Grinidrømme,https://musescore.com/user/26911315/scores/7362836,"Korneliussen, Kåre",https://www.rockipedia.no/artister/kare_korneliussen-14966/,1916 - 1980,"Berg, Leif",,? - <1974,1944-45,,,,,
,Grinifangens lengsel,https://musescore.com/user/26911315/scores/7362860,"Korneliussen, Kåre",https://www.rockipedia.no/artister/kare_korneliussen-14966/,1916 - 1980,"Berg, Leif",,? - <1974,1944-45,,,,,
,,,,,,,,,,,,,,
,Kongesangen,https://musescore.com/user/26911315/scores/7513379,"Carey, Henry",https://en.wikipedia.org/wiki/Henry_Carey_(writer),1687 - 1743,N. Fogtmann,,,ca 1740,,,,,
,Kongesangen,https://musescore.com/user/26911315/scores/7513379,"Weyse, Christoph E. F.",https://no.wikipedia.org/wiki/Christoph_Ernst_Friedrich_Weyse,1774 - 1842,Elias Blix,https://no.wikipedia.org/wiki/Elias_Blix,1836 - 1902,1826,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Norge er vårt igjen,https://musescore.com/user/26911315/scores/7362884,"Hauge, Eivind",,,Eivind Hauge,,,1945,,,,,
,Russ! Russ! Russ!,https://musescore.com/user/26911315/scores/7705301,"Haugen, Harald",https://www.nb.no/items/806c59276f43e36a681db0e6c5937c7f?page=9&searchText=%22Harald%20Haugen%22,1905 - 1982,,,,,,,,,
,Furuskog-visa,https://musescore.com/user/26911315/scores/7203456,"Lervik, Asmund",https://www.steinkjerleksikonet.no/lervik_asmund,1913 - 1997,Olav Brosveet,,1930 - 2014,1963,,,,,
,Veslefrikk,,"Henschien, Harald",https://no.wikipedia.org/wiki/Harald_Henschien,,,,,1949,,Til Harald Henschiens 25års jubileum,,,
,Im Grünen,,"Aletter, Wilhelm",https://de.wikipedia.org/wiki/Wilhelm_Aletter,1867 - 1934,,,,,,,,,
,,,,,,,,,,,,,,
5,Alle flag op i dag,https://musescore.com/user/26911315/scores/7623236,Trad,,,Margrethe Munthe,https://en.wikipedia.org/wiki/Margrethe_Munthe,1860 - 1931,1906,,Arr: Gustav Fr. Lange 1861 - 1939,,J. W. Cappelen,1906
5,"Kom, skal vi synge I",https://musescore.com/user/26911315/scores/7530437,Trad,,,Margrethe Munthe,https://en.wikipedia.org/wiki/Margrethe_Munthe,1860 - 1931,1905,,Arr: Gustav Fr. Lange 1861 - 1939,,1905,
4,Kom skal vi synge II,https://musescore.com/user/26911315/scores/13514158,Trad,,,Margrethe Munthe,https://en.wikipedia.org/wiki/Margrethe_Munthe,1860 - 1931,1907,,Arr: Gustav Fr. Lange 1861 - 1939,,J. W. Cappelen,
4,Kom skal vi synge III,https://musescore.com/user/26911315/scores/12796471,Trad,,,Margrethe Munthe,https://en.wikipedia.org/wiki/Margrethe_Munthe,1860 - 1931,1918,,Arr: Gustav Fr. Lange 1861 - 1939,,J. W. Cappelen,4?
5,"Konge, du er vor",https://musescore.com/user/26911315/scores/8106978,Trad (Louis Spohr),,,Margrethe Munthe,https://en.wikipedia.org/wiki/Margrethe_Munthe,1860 - 1931,1906,,Arr: Gustav Fr. Lange 1861 - 1939,,J. W. Cappelen,1906
5,Vi synger for vor prins!,https://musescore.com/user/26911315/scores/14386003,"Trad (Horneman, Emil)",,1809 - 1870,Margrethe Munthe,https://en.wikipedia.org/wiki/Margrethe_Munthe,1860 - 1931,1906,,,,J. W. Cappelen,1906
4,Syv Julesange for Börn,https://musescore.com/user/26911315/scores/9149499,Trad,,,,,,1896,,,,Carl Warmuth,2170
4,The Lancers,https://musescore.com/user/26911315/scores/12026974,Trad,,,,,,1876,,,,Carl Warmuth,217/1384
,,,,,,,,,,,,,,
,Zwei Lieder,,"Eberler, Otto",,,"Gulbransson, Grete",,1881 - 1934,1916,,,,Otto Halbreiter,126
4,Nansen's trip to the Northpole,https://musescore.com/user/26911315/scores/22707196,"Lage, Henry",,,,,,1898,,"Self published, Omaha Nebraska",,,
4,Annie Laurie,https://musescore.com/user/26911315/scores/22739893,"Himmelreich, Ferdinand",https://www.findagrave.com/memorial/127437960/ferdinand_milius-himmelreich,1880 - 1937,,,,1925,,Theo Presser.,,,
2,Love's romance,https://musescore.com/user/26911315/scores/23656672,"Himmelreich, Ferdinand",https://www.findagrave.com/memorial/127437960/ferdinand_milius-himmelreich,1880 - 1937,,,,1911,,Theo Presser.,,,
,Serenade,,"Körling, Felix",,,,,,,,,,,
5,Le Golden Fox Trot,https://musescore.com/user/26911315/scores/22810381,"Salabert, Francis
Huguet-Tagell, Rogeli",https://en.wikipedia.org/wiki/Francis_Salabert,"1884 - 1946
1882 - 1956",,,,1915,,,,Francis Salabert,789
3,Sefira,https://musescore.com/user/26911315/scores/22578049,"Siede, Ludwig",https://nl.wikipedia.org/wiki/Ludwig_Siede,1888 - 1956,,,,1913,Opus 47,,,Anton J. Benjamin Hamburg,4191
4,Pelikan,https://musescore.com/user/26911315/scores/22864894,"Aleppo, W",,,,,,1921,,,,"Colosseum-Verlag, Berlin",510
4,Blondy's melody,https://musescore.com/user/26911315/scores/23556163,"Olsen, Elmer",http://www.sandiegoragtime.com/Research%20blog%20entries%20folder/Elmer%20Olson%20posts%20from%2020230901.html,1892 - 1928,"Berverly, Sam",,1891 - 1920,1914,,,,,
5,Sweet Suzanne,https://musescore.com/user/26911315/scores/23732407,"Olsen, Elmer",http://www.sandiegoragtime.com/Research%20blog%20entries%20folder/Elmer%20Olson%20posts%20from%2020230901.html,1892 - 1928,"Santrey, Henry",,1882 - 1958,1918,,,,,
,,,,,,,,,,,,,,
5,What are the Poor Girls going to Do?,https://musescore.com/user/26911315/scores/23153230,"Olsen, Elmer",http://www.sandiegoragtime.com/Research%20blog%20entries%20folder/Elmer%20Olson%20posts%20from%2020230901.html,1892 - 1928,"Olsen, Elmer",http://www.sandiegoragtime.com/Research%20blog%20entries%20folder/Elmer%20Olson%20posts%20from%2020230901.html,1892 - 1928,1917,,,,,
1,Gypsy Rose,https://musescore.com/user/26911315/scores/24010000,"Olsen, Elmer",http://www.sandiegoragtime.com/Research%20blog%20entries%20folder/Elmer%20Olson%20posts%20from%2020230901.html,1892 - 1928,"Olsen, Elmer",http://www.sandiegoragtime.com/Research%20blog%20entries%20folder/Elmer%20Olson%20posts%20from%2020230901.html,1892 - 1928,1917,,,,"Church, Paxon & Co New York",
5,La Madone,https://musescore.com/user/26911315/scores/24303763,"Sweet, Albert S.",,1833 - 1897,,,,1889?,,,,,
,Wooden shoes,https://musescore.com/user/26911315/scores/25424167,Gibson Cook,,1866 - 1946,,,,1910,The Crescendo magazine Nov. 1913,,,The Crescendo magazine Nov. 1913,
