Musescore,Unnamed_2,Melodi,Komponist,Komponist_link,Levde_når,Lyrikk,Lyrikk_link,Unnamed_7,Når_komponert,_Ferdigskrevet_,Begynt_på
,No 1,Tonen,"Lasson, Per",https://nbl.snl.no/Per_Lasson,1859 - 1883,Bjørnstjerne Bjørnson,https://no.wikipedia.org/wiki/Bjørnstjerne_Bjørnson,1832 - 1910,,x,
,No 2,Und liebst du mich?,"Lasson, Per",https://nbl.snl.no/Per_Lasson,1859 - 1883,Karl Beck,https://en.wikipedia.org/wiki/Karl_Isidor_Beck,1817 - 1879,,x,
,No 3,Lokkeleg,"Lasson, Per",https://nbl.snl.no/Per_Lasson,1859 - 1883,Bjørnstjerne Bjørnson,https://no.wikipedia.org/wiki/Bjørnstjerne_Bjørnson,1832 - 1910,,x,
,No 4,Lied,"Lasson, Per",https://nbl.snl.no/Per_Lasson,1859 - 1883,Emanuel Geibel,https://en.wikipedia.org/wiki/Emanuel_Geibel,1815 - 1884,,x,
,No 5,Dulgt Kjærlighed,"Lasson, Per",https://nbl.snl.no/Per_Lasson,1859 - 1883,Bjørnstjerne Bjørnson,https://no.wikipedia.org/wiki/Bjørnstjerne_Bjørnson,1832 - 1910,,,x
,No 6,Godnat!,"Lasson, Per",https://nbl.snl.no/Per_Lasson,1859 - 1883,Henrik Wergeland,https://no.wikipedia.org/wiki/Henrik_Wergeland,1808 - 1845,,x,
,No 7,Over de höje Fjelde,"Lasson, Per",https://nbl.snl.no/Per_Lasson,1859 - 1883,Bjørnstjerne Bjørnson,https://no.wikipedia.org/wiki/Bjørnstjerne_Bjørnson,1832 - 1910,,x,
,No 8,Wunsch,"Lasson, Per",https://nbl.snl.no/Per_Lasson,1859 - 1883,Robert Reinick,https://en.wikipedia.org/wiki/Robert_Reinick,1805 - 1852,,,x
,No 9,"O, vidste du bare!","Lasson, Per",https://nbl.snl.no/Per_Lasson,1859 - 1883,Bjørnstjerne Bjørnson,https://no.wikipedia.org/wiki/Bjørnstjerne_Bjørnson,1832 - 1910,,x,
,No 10,Træet,"Lasson, Per",https://nbl.snl.no/Per_Lasson,1859 - 1883,Bjørnstjerne Bjørnson,https://no.wikipedia.org/wiki/Bjørnstjerne_Bjørnson,1832 - 1910,,x,
,No 11,Paa Fjellet,"Lasson, Per",https://nbl.snl.no/Per_Lasson,1859 - 1883,Kristofer Janson,https://no.wikipedia.org/wiki/Kristofer_Janson,1841 - 1917,,,Tekst gjenstår
,No 12,Grüss,"Lasson, Per",https://nbl.snl.no/Per_Lasson,1859 - 1883,Heinrich Heine,https://en.wikipedia.org/wiki/Heinrich_Heine,1797 - 1856,,x,
,No 13,Hör ich das Liedchen klingen,"Lasson, Per",https://nbl.snl.no/Per_Lasson,1859 - 1883,Heinrich Heine,https://en.wikipedia.org/wiki/Heinrich_Heine,1797 - 1856,,x,
,No 14,Sehnsucht,"Lasson, Per",https://nbl.snl.no/Per_Lasson,1859 - 1883,Ludwig Ganghofer,https://en.wikipedia.org/wiki/Ludwig_Ganghofer,1855 - 1920,,,x
,No 15,Erinnerung,"Lasson, Per",https://nbl.snl.no/Per_Lasson,1859 - 1883,Ludwig Ganghofer,https://en.wikipedia.org/wiki/Ludwig_Ganghofer,1855 - 1920,,x,
