Unnamed_1,Unnamed_2,Musescore,Melodi,Melodi_link,Komponist,Komponist_link,Levde_når,Lyrikk,Lyrikk_link,Levde_når_2,Når_komponert,Sanginfo,Sanginfo_link,Dubletter,Unnamed_12,Unnamed_13,Unnamed_14,Unnamed_15,Unnamed_16,Unnamed_17
,,,,,,,,,,,,,,,,,,,,
,,,Et brev med små violer,,"Nelson, Steve",http://nashvillesongwritersfoundation.com.s164288.gridserver.com/Site/inductee?entry_id=1840,1907 - 1981,Georg Otto (Kurt Leisner),https://da.wikipedia.org/wiki/Otto_Leisner,1917 - 2008,1948,,,4,,,,,,
,,,High Noon,,"Tiomkin, Dimitri",https://en.wikipedia.org/wiki/Dimitri_Tiomkin,1894 - 1979,Ned Washington,https://en.wikipedia.org/wiki/Ned_Washington,1901 - 1976,1952,,,,,,,,,
,,,Bli med i kano'n,https://musescore.com/user/26911315/scores/7001135,"Piraly, Max",,,Per Kvist,https://no.wikipedia.org/wiki/Per_Kvist,1890 - 1947,1926?,,,,,,,,,
,,,Hvor er min kone,https://musescore.com/user/26911315/scores/7023848,"Vejvoda, Jaromir",https://en.wikipedia.org/wiki/Jaromír_Vejvoda,1902 - 1988,,,,1927,,,,,,,,,
,,,Colorado,https://musescore.com/user/26911315/scores/7188495,Walter Hirsh & Harold A. Dellon,,,R. H. S,,,1924,,,,,,,,,
,,,Ramona,https://musescore.com/user/26911315/scores/7063059,"Wayne, Mable",https://en.wikipedia.org/wiki/Mabel_Wayne,1890 - 1978,Louis Wolfe Gilbert,https://en.wikipedia.org/wiki/L._Wolfe_Gilbert,1886 - 1970,1927,Ramona,https://en.wikipedia.org/wiki/Ramona_(song),2,,,,,,
,,x,On the road to Mandaly,https://musescore.com/user/26911315/scores/6622754,"Speaks, Oley",https://en.wikipedia.org/wiki/Oley_Speaks,1874 - 1948,Rudyard Kipling,,1865 - 1936,1907,,,,,,,,,
,,,Our Waltz,https://musescore.com/user/26911315/scores/7045404,"Rose, David",https://en.wikipedia.org/wiki/David_Rose_(songwriter),1910 - 1990,Nat Burton (Nat Schwartz),https://en.wikiquote.org/wiki/Nat_Burton,1901 - 1945,1942,,,,,,,,,
,,,Madeleine,https://musescore.com/user/26911315/scores/7044996,Sidney Mills & Howard Brown,,,Alfred Kjerulf,https://da.wikipedia.org/wiki/Alfred_Kjerulf,1892 - 1938,1928,,,,,,,,,
,,,Bimbo,https://musescore.com/user/26911315/scores/7001103,Rod Morris,,1919 - 1980,Juul Hansen,https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,1948,Bimbo,https://en.wikipedia.org/wiki/Bimbo_(song),,,,,,,
,,,Romany love,https://musescore.com/user/26911315/scores/7064481,John Stepan Zamecnik,https://en.wikipedia.org/wiki/John_Stepan_Zamecnik,1872 - 1953,Arthur J. Lamb,https://en.wikipedia.org/wiki/Arthur_J._Lamb,1870 - 1928,1922,,,,,,,,,
,,,Lago Maggiore,,Benny De Weille,https://en.wikipedia.org/wiki/Benny_de_Weille,1915 - 1977,Juul Hansen,https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,1951,,,,,,,,,
,,,Davy Crockett,,George Bruns,https://en.wikipedia.org/wiki/George_Bruns,1914 - 1983,Arne Bendiksen,https://no.wikipedia.org/wiki/Arne_Bendiksen,1926 - 2009,1954,Davy Crockett,https://en.wikipedia.org/wiki/The_Ballad_of_Davy_Crockett,,,,,,,
Ingen tekst,,,Drunt in der Lobau,https://musescore.com/user/26911315/scores/7012055,Heinrich Strecker,https://en.wikipedia.org/wiki/Heinrich_Strecker,1893 - 1981,Beda & Eckhardt ,,,1928,,,,,,,,,
,,,I Rio de Janeiro,,Alfredo Zmigrod,,1905 - ?,Alfredo Zmigrod,,1905 - ?,1949,,,,,,,,,
,,,Om flickor vore blommor,,Pascal Bastia,https://en.wikipedia.org/wiki/Pascal_Bastia,1908 - 2007,Pascal Bastia,https://en.wikipedia.org/wiki/Pascal_Bastia,1908 - 2007,1938? / 1945,,,,,,,,,
,,,"Que Sera, Sera",https://musescore.com/user/26911315/scores/7063054,Jay Livingston,https://en.wikipedia.org/wiki/Jay_Livingston,1915 - 2001,Ray Evans,https://en.wikipedia.org/wiki/Ray_Evans,1915 - 2007,1955,"Que Sera, Sera","https://en.wikipedia.org/wiki/Que_Sera,_Sera_(Whatever_Will_Be,_Will_Be)",2,,,,,,
,,,Valse Decembre,https://musescore.com/user/26911315/scores/7097617,Walter Rolfe,https://nl.wikipedia.org/wiki/Walter_Rolfe,1880 - 1944,,,,1914,,,,,,,,,
,,,Harry Lime's Melodi,https://musescore.com/user/26911315/scores/25739602,"Karas, Anton",https://en.wikipedia.org/wiki/Anton_Karas,1906 - 1985,,,,1949,"Fra filmen ""Den tredje mann""",https://en.wikipedia.org/wiki/The_Third_Man,,,,,,,
,,,Do'nt sit under the apple-tree,,,,,,,,,,,,,,,,,
,,,Get me to the Church on time,,,,,,,,,,,,,,,,,
,,,On the Sunny side of the street,,,,,,,,,,,,,,,,,
,,,My heart is a Hobo,,,,,,,,,,,,,,,,,
,,,Its Been a Long Long Time ,,,,,,,,,,,,,,,,,
,,,Lady be good,,,,,,,,,,,,,,,,,
,,,"Long, Long ago",,,,,,,,,,,,,,,,,
,,,Love has its own refrain,,,,,,,,,,,,,,,,,
,,,"Love, Look Away",,,,,,,,,,,,,,,,,
,,,Sonny Boy,,,,,,,,,,,,,,,,,
,,,That's My Desire,,,,,,,,,,,,,,,,,
,,,The last rose of summer,,,,,,,,,,,,,,,,,
,,,Slightly out of tune,,,,,,,,,,,,,,,,,
,,,Whitecaps,,,,,,,,,,,,,,,,,
,,,Maria Elena,,,,,,,,,,,,,,,,,
,,,Valencia,,,,,,,,,,,,,,,,,
,,,Elizabethan Serenade orkester,,,,,,,,,,,,,,,,,
,,,The Rock And Roll Waltz,,"Allen, Shorty",,,Dick Ware,,,,,,,,,,,,
,,,Kjærlighetens serenade,https://musescore.com/user/26911315/scores/12370354,"""Glück""",,,"""Teddy""",,,1939,Presto forlag 1943,,,,,,,,
,,,Too young,,Sid Lippman,https://en.wikipedia.org/wiki/Sidney_Lippman,1914 - 2003,Sylvia Dee,https://en.wikipedia.org/wiki/Sylvia_Dee,1914 - 1967,1951,Too young,https://en.wikipedia.org/wiki/Too_Young_(Sidney_Lippman_and_Sylvia_Dee_song),,,,,,,
,,,Picador,,Horation Nicholls,https://en.wikipedia.org/wiki/Lawrence_Wright_(composer),1888 - 1964,,,,1926,,,,,,,,,
,,,Lambeth Walk,,Noel Gay                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,https://en.wikipedia.org/wiki/Noel_Gay,1898 - 1954,Douglas Furber,https://en.wikipedia.org/wiki/Douglas_Furber,1885 - 1961,1937,Lambeth Walk,https://en.wikipedia.org/wiki/The_Lambeth_Walk,,,,,,,
,,,La Cumparsita,,Gerardo Matos Rodriguez,https://en.wikipedia.org/wiki/Gerardo_Matos_Rodríguez,1897 - 1948,,,,,La cumparsita,https://en.wikipedia.org/wiki/La_cumparsita,,,,,,,
,,,Good night Irene,https://musescore.com/user/26911315/scores/7702184,John Lomax,,1867 - 1948,Huddie Ledbetter,https://en.wikipedia.org/wiki/Lead_Belly,1888 - 1949,,"Goodnight, Irene","https://en.wikipedia.org/wiki/Goodnight,_Irene",,,,,,,
,,,Moulin Rouge,,George Auric,https://en.wikipedia.org/wiki/Georges_Auric,1899 - 1983,William Engvick,https://en.wikipedia.org/wiki/William_Engvick,1914 - 2012,,Moulin Rouge,https://en.wikipedia.org/wiki/Moulin_Rouge_(1952_film),,,,,,,
